smiles,standard_value,PCFE,RTlogD,ADMETlab2.0,w/o microscopic pKa,w/o pre-training and microscopic pKa,w/o pre-training,no_logp,swap_strategy,all_task_scaffold,replace_macropka,Instant Jchem,logp_simi,RT_simi,logD_simi,logp_smi
CC(C(=O)N[C@H](CO)c1cc(F)cc(N2CCN(C)CC2)c1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,3.6,2.91,2.975,2.4,2.731,2.384,2.412,2.45429,2.78573,2.5585728,2.5161781,2.032993254,0.223214286,0.275229358,0.317307692,0.223214286
CNC(C)C(=O)NC(C(=O)N1C[C@@H](NC(=O)c2cnc(N3CCN(CCCOc4cc5ncnc(Nc6[nH]nc(C)c6C)c5cc4S(=O)(=O)C(C)(C)C)CC3)cn2)CC1C(=O)Nc1c(F)cccc1F)C(C)(C)C,3.6,3.11,2.045,3.211,2.665,1.949,1.849,2.9417129,1.9316525,1.9772353,2.411224,2.302404464,0.205882353,0.283687943,0.311827957,0.205882353
CC[C@@H](c1ccccc1)n1nc(C(=O)NC)cc1C(=O)N[C@@H]1[C@H]2C[C@@H](O)C[C@H]21,3.6,2.34,2.192,2.421,1.795,3.037,2.226,2.2452197,2.7983813,2.3827484,2.2187333,1.308794579,0.285714286,0.316666667,0.315068493,0.285714286
C[C@H](Oc1ccc2ncc(/C=C/C(=O)O)c(N(C)C)c2c1)c1c(Cl)ccc(F)c1Cl,3.6,3.1,2.843,3.778,3.225,3.013,3.022,3.54967,3.3017783,3.1813195,2.44368,4.059197895,0.291139241,0.275862069,0.314606742,0.291139241
C[C@H](Oc1ccc(/C=C/C(=O)O)c(C2CC2)c1)c1c(Cl)ccc(F)c1Cl,3.6,3.66,3.362,3.858,3.273,3.733,3.515,4.197361,2.9673722,3.1017108,3.620503,3.037746511,0.288135593,0.280487805,0.337349398,0.288135593
CC(NC(=O)c1ccc(Cl)cc1)c1ccc2c(c1)OCCN2C(=O)c1cccc(Cl)c1,3.6,4.03,4.15,3.578,3.873,4.151,3.961,4.6327844,3.7070684,3.7217937,4.073802,5.023454299,0.316666667,0.455882353,0.375,0.316666667
COc1ccc(C(=O)N2CCOCC2)cc1S(=O)(=O)N(Cc1ccc(C(F)(F)F)nc1)CC(C)(C)C,3.6,3.65,3.651,3.004,3.368,2.948,2.92,2.8184805,3.4651232,3.2511864,2.6658988,3.34125272,0.320987654,0.361702128,0.435897436,0.348837209
CC(=O)N[C@@H]1CCCC(C(=O)Nc2cc(-c3cnn4ccccc34)c(Cl)cn2)C1,3.6,2.92,3.198,2.837,2.752,3.332,3.005,2.4328039,3.0907931,2.5507462,2.937738,2.807685561,0.308823529,0.320987654,0.423529412,0.308823529
Cc1nnc(N2CC3CCC(C2)C3Nc2nc(Oc3cccc(Cl)c3)n(C(C)C)n2)o1,3.6,3.52,3.851,3.242,3.189,3.347,3.799,3.4624212,3.3143525,3.4105153,3.215601,3.629716796,0.26984127,0.288888889,0.49382716,0.26984127
O=C(CNC(=O)Nc1ccc(Br)cc1)Nc1cccnc1,3.6,2.86,2.947,2.509,2.363,2.572,2.497,2.6726758,2.8693295,2.7549825,2.8475437,1.564074313,0.465116279,0.434782609,0.462962963,0.465116279
CCCCC1NC(=O)C(CCCC)N(C)C(=O)C2CCCN2C(=O)C(CCCC)NC(=O)C(Cc2ccccc2)N(C)C(=O)CSCC(C(=O)NC)N(C)C1=O,3.6,2.64,2.488,3.463,1.916,1.313,2.048,1.5455852,1.7343541,1.389816,1.1844705,2.634821648,0.253333333,0.3125,0.5,0.253333333
CNC(=O)c1cc(C(=O)NC2CC2)c(C(C)c2ccccc2)o1,3.6,2.59,2.956,2.705,2.732,3.374,2.881,2.67954,2.9715564,2.654705,3.06643,1.868549913,0.363636364,0.358208955,0.491525424,0.392156863
CNC(=O)c1cc(C(=O)NC2CCOCC2)n([C@@H](C)c2ccccc2)n1,3.6,1.8,2.391,2.016,2.044,2.552,2.468,2.814313,2.5371394,2.192935,2.5690005,0.957823866,0.305084746,0.385714286,0.46875,0.305084746
CNC(=O)c1cc(C(=O)NC2CC2)cc2c1OC[C@H]2c1ccccc1,3.6,2.51,3.314,2.349,3.39,3.261,2.883,3.0176802,3.427369,2.9584086,3.270269,1.968436735,0.333333333,0.333333333,0.467741935,0.37254902
CNC(=O)c1cc(C(=O)N[C@@H]2[C@H]3COC[C@H]32)cc2c1OC[C@H]2c1ccc(F)cc1,3.6,2.04,2.71,2.232,2.563,2.421,2.178,2.230293,2.564769,2.8014667,2.0756967,1.212544116,0.254237288,0.302325581,0.405797101,0.254237288
COc1cc(NC2CN(CCCF)C2)ccc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC(F)(F)F,3.6,3.63,3.645,3.282,3.655,3.709,3.986,2.9068277,3.55511,3.3214443,3.79643,3.605242248,0.22826087,0.242424242,0.528089888,0.22826087
COc1cc(OCCN2CC(CF)C2)ccc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC(C)(C)F,3.6,3.05,3.237,3.477,3.304,3.531,3.177,3.1081738,3.6428237,2.944976,2.778805,3.667697463,0.264367816,0.25,0.6,0.264367816
CNc1nc(-c2ccccc2)c2ccccc2n1,3.6,3.1,3.306,3.058,2.543,3.164,3.328,3.640601,3.6036792,2.727571,3.5145729,3.609586084,0.4,0.638888889,0.512820513,0.59375
CNC(=O)c1cc(C(=O)NC2CC2)n([C@@H](C)c2ccccc2)n1,3.6,2.21,2.693,2.307,2.466,2.803,2.803,2.6722858,3.156298,2.238134,3.02638,1.462202307,0.333333333,0.4375,0.534482759,0.333333333
CC(C)SC(=O)N1CCC(Oc2cc(N3CCc4cc(S(C)(=O)=O)ccc43)ncn2)CC1,3.6,3.18,3.533,3.373,3.063,2.707,2.942,3.4842167,3.126763,3.7878013,3.3425164,2.818148166,0.226666667,0.420454545,0.779411765,0.226666667
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(OCCN3CC(CF)C3)cc2F)N1C(=O)C(C)(F)F,3.6,4.07,4.417,3.706,4.031,3.807,4.18,4.5842724,3.7325106,4.2833214,4.169161,4.197996513,0.273684211,0.355555556,0.783783784,0.273684211
C=CC(=O)N1CCN2c3ncnc4cc(-c5c(C)ccc6[nH]ncc56)c(Cl)c(c34)OC[C@H]2C1,3.6,3.47,3.729,3.461,3.051,3.554,3.232,3.5689392,2.6705463,3.1455605,3.1775205,3.775820424,0.204301075,0.266666667,0.651162791,0.214953271
C/C=C1\NC(=O)C(NC(=O)c2ccc(Oc3ccc(C)cc3)cc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O,3.616,-2.67,-1.08,-1.218,-1.865,-2.201,-1.675,-0.6166506,-2.1320622,-3.5398083,-0.70039344,-13.42,0.194915254,0.221311475,0.251655629,0.194915254
O=C1Cc2ccc(cc2)OCCC/C=C/CCCOc2ccc(cc2)CC(=O)Nc2nnc(s2)CCCCc2nnc(s2)N1,3.62,4.83,5.428,5.231,3.386,4.038,4.092,6.460927,2.9703157,5.6217012,4.864319,5.7,0.229166667,0.202898551,0.193181818,0.229166667
CCNc1cc(F)cc2c1[nH]c1ncc(-c3cncc(Cc4ncc[nH]4)c3)c(-n3ccc(C(F)(F)F)n3)c12,3.62,3.27,4.33,3.612,3.178,3.563,3.305,3.9839973,3.145076,2.854948,2.9214923,3.692173781,0.2,0.212121212,0.440860215,0.2
CCNc1cc(F)cc2c1[nH]c1ncc(-c3cncc(C#N)c3)c(-n3ccc(C(F)(F)F)n3)c12,3.63,3.61,4.565,3.519,3.463,3.432,3.508,4.379395,3.7388792,2.745942,2.8735504,3.847456727,0.189189189,0.244897959,0.592592593,0.204819277
CCNc1cc(F)cc2c1[nH]c1ncc(-c3cncc(N4CCOCC4)c3)c(-n3ccc(C(F)(F)F)n3)c12,3.64,3.54,4.7,3.66,3.428,3.794,3.521,4.473754,3.502956,2.516864,3.6983986,3.879245564,0.222222222,0.255102041,0.419354839,0.222222222
Cc1c(C)c2ccc(OCc3cccc(CN(C)CCCC(F)F)c3)cc2oc1=O,3.65,3.9,3.212,4.078,2.664,2.912,2.812,3.451723,2.9671788,3.0319805,2.8572106,2.885854009,0.31884058,0.323529412,0.378378378,0.31884058
Cc1c(C)c2ccc(OCC3CCCN(Cc4ccccc4)C3)cc2oc1=O,3.65,3.8,3.272,4.129,2.612,3.029,3.26,3.2714508,3.5715032,3.9158201,3.5498788,3.050857036,0.352941176,0.373493976,0.371794872,0.352941176
FC(F)(F)n1cc(-c2n[nH]c3cc(Cl)c(N[C@@H]4CCN(C5COC5)C4)cc23)cn1,3.66,3.08,3.273,3.4,3.305,3.996,3.286,3.9231215,3.154253,3.719247,4.1174154,3.2,0.197674419,0.228915663,0.25974026,0.197674419
Cc1cc2c(-c3ccco3)ccc(N[C@@H]3CCNCC3C(=O)NC3CCCCC3)c2[nH]c1=O,3.66,2.65,1.721,3.667,2.089,2.146,1.75,1.8130012,2.2735727,1.6692376,2.2150602,0.803396667,0.272727273,0.302325581,0.373493976,0.272727273
CCNc1cc(F)cc2c1[nH]c1ncc(-c3cncc(Cc4ncco4)c3)c(-n3ccc(C(F)(F)F)n3)c12,3.66,3.42,4.431,3.576,3.237,3.364,3.407,4.348261,3.3218412,2.6519678,4.258049,3.889991193,0.189473684,0.223300971,0.430107527,0.189473684
O=C(CN1C(=O)S/C(=C\c2ccc(O)cc2)C1=O)Nc1ccccc1Cl,3.68,3.32,4.079,2.872,2.819,2.94,3.478,3.5430176,2.9553466,3.5150843,3.8087928,3.28,0.428571429,0.414285714,0.288135593,0.428571429
COC(=O)c1c(N)c(C#N)nn1-c1ccccc1OCc1ccccc1,3.69,3.57,4.029,3.544,3.008,2.9,4.262,4.5133886,3.280661,3.1359115,3.931578,3.612364821,0.344262295,0.435483871,0.375,0.344262295
CCC/N=C1\S/C(=C\c2ccc(O)c(Cl)c2)C(=O)N1C1CCOCC1,3.7,3.33,3.578,2.992,3.373,2.806,3.992,3.2165887,2.5073411,3.0047522,3.9768782,3.3,0.291139241,0.301204819,0.23943662,0.291139241
FC(F)Oc1ccc(-c2nnc3cncc(OCCc4ccccc4)n23)cc1,3.7,3.24,3.434,3.535,3.2,3.291,3.644,3.253471,3.3291187,2.9692364,2.9675708,3.32,0.326530612,0.298507463,0.294117647,0.337662338
Cc1nnc(C23CCC(Nc4nc5n(n4)CCCN5c4ccc(OC(F)(F)F)cc4)(CC2)CC3)o1,3.7,4.24,4.178,3.99,3.332,3.209,3.732,3.8959513,3.6669183,3.8290958,2.8078523,4.43,0.244444444,0.268292683,0.252873563,0.244444444
CC(C)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(Cl)cc3)c2)c2cnc(N)nc21,3.7,2.94,2.874,1.932,2.884,2.538,2.892,2.8063052,2.7997556,2.8067193,2.3506794,2.51,0.25,0.307692308,0.282608696,0.314285714
CCC[C@@H](NC(=O)c1cccc2c1CC(=O)N2)[C@@H](O)c1cccc(Cl)c1,3.7,2.69,3.524,3.922,2.527,2.836,2.99,2.763237,2.436741,2.4627893,2.7124865,3.23,0.309859155,0.287671233,0.294117647,0.309859155
CCC[C@@H](NC(=O)c1cccc2c1CC(=O)N2)[C@@H](O)c1cccc(F)c1Cl,3.7,2.82,3.424,3.882,2.539,2.932,2.97,2.9929159,2.6964998,2.2499049,2.9386735,3.37,0.25,0.256097561,0.287356322,0.25
Cc1cc(-c2c(C)nn(C)c2C)ccc1-c1nnc(N(C)Cc2ccc3nccn3c2)o1,3.7,3.39,2.938,3.397,2.676,2.505,3.307,2.7349129,2.0691905,3.1894002,2.9947793,3.17,0.25,0.263736264,0.271604938,0.25
COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5cnn(C)n5)ncc4Cl)cc3C2=O)c1,3.7,3.11,3.572,2.538,2.895,3.441,3.274,3.5628555,3.1226296,3.1992047,3.1325243,2.2,0.208333333,0.254545455,0.293103448,0.208333333
CC(C)(C)OC(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,3.7,3.2,3.181,2.613,2.767,2.435,2.276,2.9029803,2.7745361,2.7875774,2.7195904,2.461204002,0.247191011,0.320512821,0.344827586,0.247191011
C[C@H]1C[C@@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)ccc2N)C[C@@H](O)[C@]1(C)O,3.7,3.73,3.067,2.86,3.35,3.636,2.813,3.4272606,3.3073158,3.1404347,3.6705713,3.452660697,0.233766234,0.24691358,0.302083333,0.233766234
COc1ccc(OC)c(S(=O)(=O)N(C)Cc2ccc(F)cc2)c1,3.7,3.32,3.157,2.901,3.448,3.094,2.947,3.0294685,2.2367556,3.8052034,2.6899452,2.578461239,0.422222222,0.432835821,0.4,0.422222222
CCNC(=O)C(C)N(CC(c1ccccc1)c1ccccc1)C(=O)c1ccc(=O)n(C)c1,3.7,2.46,3.346,2.317,2.075,2.337,2.098,3.015095,2.173258,1.8448976,1.9918482,2.648201421,0.333333333,0.310810811,0.366197183,0.333333333
CNC(=O)C(C)N(CC(c1ccccc1)c1ccccc1)C(=O)c1cc(C)c(=O)n(C)c1,3.7,3.08,3.703,2.605,2.697,2.855,2.648,3.4745173,1.9856585,1.6070814,2.9198983,2.686943951,0.333333333,0.306666667,0.338235294,0.333333333
CNC(=O)C(C)(C)N(CC(c1ccccc1)c1ccccc1)C(=O)c1cc(C)c(=O)n(C)c1,3.7,3.33,3.891,2.866,2.961,3.097,2.868,3.3147526,2.5914192,2.1879017,3.626203,3.11970983,0.307692308,0.295774648,0.314285714,0.307692308
C[C@@H]1Cc2c(ccc3[nH]nc(F)c23)[C@@H](c2ccc(NC3CN(CCCF)C3)c(F)n2)N1CC(F)(F)F,3.7,3.81,4.081,3.865,3.956,4.012,4.58,3.792622,3.8312654,4.043235,4.126977,4.08733773,0.197802198,0.239583333,0.329896907,0.197802198
COc1ccc(Cc2cc(-c3sc(C)nc3C)[nH]n2)cc1,3.7,3.39,3.499,3.304,3.188,3.874,3.339,3.280004,3.2223208,2.959319,2.9573193,2.562583921,0.344262295,0.384615385,0.392156863,0.344262295
CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(Cl)cc3)c2)c2cncnc21,3.7,3.46,3.818,3.312,3.844,3.435,3.506,3.2251015,3.2822404,3.205951,2.8742163,3.430667112,0.275362319,0.324324324,0.337349398,0.349206349
Cc1ccc(C(=O)NC2CC2)cc1-n1ccnc(N[C@@H]2CCCc3ccccc32)c1=O,3.7,2.98,3.974,3.304,3.432,3.199,3.583,3.397141,3.6322613,3.0636268,3.7056205,3.752095547,0.308641975,0.395061728,0.333333333,0.333333333
CNC(=O)c1csc2c(C(F)(F)F)cc(N3CCN(CC(O)COC(C)(C)C)CC3)nc12,3.7,2.84,3.557,3.148,3.316,3.223,2.88,3.2821236,2.8068056,3.5526333,3.937133,2.603020094,0.25,0.304878049,0.309278351,0.25
O=C(Nc1ccc(Br)cc1)NC1(C(=O)Nc2cncnc2)CCCC1,3.7,3.22,3.553,3.163,2.879,2.927,2.994,2.762066,2.9749553,2.559842,3.2873755,2.441391226,0.4,0.333333333,0.322580645,0.4
Cc1cncc(NC(=O)C2(NC(=O)Nc3ccc(Br)cc3)CCCC2)c1,3.7,4.05,4.665,3.629,3.751,3.82,4.049,3.9483552,3.74721,4.2909775,4.102689,3.659574433,0.392156863,0.328767123,0.350877193,0.392156863
CCC[C@@H](NC(=O)c1cccc2[nH]c(O)cc12)[C@@H](O)c1ccccc1C(F)(F)F,3.7,3.76,3.575,4.032,2.474,2.886,3.206,3.9261703,3.2363312,3.179066,3.7525606,4.243728381,0.308823529,0.323943662,0.328358209,0.328571429
CCC[C@@H](NC(=O)c1cccc2[nH]c(O)cc12)[C@@H](O)c1cccc(Cl)c1,3.7,3.54,3.524,3.922,2.527,2.836,2.99,3.6106424,3.2442615,2.998324,3.8019035,3.969924638,0.322580645,0.324675325,0.348484848,0.34375
CCC[C@@H](NC(=O)c1cccc2[nH]c(O)cc12)[C@@H](O)c1cccc(F)c1Cl,3.7,3.66,3.424,3.882,2.539,2.932,2.97,4.025863,3.309081,3.1900713,4.0636272,4.112626414,0.27027027,0.296296296,0.328358209,0.328358209
CCC[C@@H](NC(=O)c1cccc2[nH]c(=O)ccc12)[C@@H](O)c1cccc(Cl)c1C,3.7,3.9,3.394,3.815,2.758,2.65,2.846,3.3215523,3.2455955,3.4767184,3.5671482,4.266728624,0.292307692,0.292307692,0.358208955,0.292307692
Cc1nc2c(-c3ccc(F)cc3)cnn2c(NCc2ccccn2)c1S(C)(=O)=O,3.7,3.22,2.271,2.009,2.276,2.035,2.55,2.342629,2.609106,2.61899,2.3113039,1.564884367,0.254237288,0.515151515,0.337837838,0.279411765
CCNC(=O)c1cc(C(=O)NC)nn1[C@@H](C)c1ccccc1,3.7,2.06,2.863,1.932,2.361,2.568,2.742,2.7565358,3.0083926,1.9918869,2.4086652,1.353445688,0.391304348,0.381818182,0.37704918,0.391304348
CNC(=O)c1cc(C(=O)N[C@H]2CC[C@H](O)CC2)n([C@@H](C)c2cccc(Cl)c2)n1,3.7,2.59,2.643,2.481,2.711,2.986,2.894,3.1306639,3.4196393,2.9894352,3.2363021,2.013234445,0.306451613,0.35483871,0.4,0.306451613
CNC(=O)c1cc(C(=O)N[C@H]2CC[C@H](O)CC2)n([C@@H](C)c2ccc(Cl)cc2)n1,3.7,2.62,2.657,2.534,2.709,3.104,2.862,2.8687224,2.8692338,2.8555906,2.4177601,2.013234445,0.304347826,0.372881356,0.397058824,0.304347826
CNC(=O)c1cc(C(=O)N[C@@H]2[C@H]3C[C@@H](O)C[C@H]32)n([C@@H](C)c2cccc(Cl)c2)n1,3.7,2.45,2.17,2.514,2.121,3.179,2.606,2.5140216,3.0645635,2.3674345,2.9818974,1.390316862,0.306451613,0.307692308,0.316455696,0.306451613
CNC(=O)c1cc(C(=O)N[C@@H]2[C@H]3COC[C@H]32)cc2c1OC[C@@]2(C)c1ccccc1,3.7,2.37,2.857,2.483,2.89,2.611,2.427,2.723822,2.7907326,3.0228755,3.0153494,1.447843014,0.296296296,0.263157895,0.383561644,0.315789474
CNC(=O)c1cc(C(=O)N[C@@H]2[C@H]3C[C@@H](O)C[C@H]32)cc2c1OC[C@@]2(C)c1ccccc1,3.7,2.56,2.702,2.524,2.323,2.456,2.407,2.406033,2.585602,3.000789,2.361774,1.67050745,0.290909091,0.257575758,0.347222222,0.310344828
C[C@H](Oc1ccc2ncc(C=Cc3nn[nH]n3)c(C3CC3)c2c1)c1c(Cl)ccc(F)c1Cl,3.7,3.56,3.524,4.262,3.244,3.389,4.59,4.2717123,2.7541814,2.7276142,3.420589,6.781250742,0.247191011,0.243243243,0.362637363,0.247191011
C[C@H](Oc1ccc(NC(=O)CC(N)=O)c(C2CC2)n1)c1c(Cl)ccc(F)c1Cl,3.7,3.42,4.259,3.136,3.661,3.424,3.416,4.083107,3.8314252,3.9960914,3.5217164,3.918355748,0.266666667,0.275862069,0.333333333,0.266666667
Cn1cccc(S(=O)(=O)N(Cc2ccc(F)cc2)Cc2ccc(F)cc2)c1=O,3.7,3.7,3.386,3.047,3.195,3.379,3.558,3.945679,3.04173,3.5086336,3.190663,3.085011949,0.386363636,0.35,0.419354839,0.386363636
COc1ccc(C(=O)N2CCOCC2)cc1S(=O)(=O)N(Cc1ccc(F)cc1)Cc1ccc(C(F)(F)F)nc1,3.7,3.5,3.043,2.815,2.764,2.814,2.797,2.910375,2.8338435,3.591539,2.4977746,3.586123747,0.317073171,0.386666667,0.430379747,0.376470588
N#Cc1ccc(O)c(S(=O)(=O)N(Cc2ccc(F)cc2)Cc2ccc(F)cc2)c1,3.7,3.16,4.023,3.524,3.413,3.718,3.188,3.7242534,3.035039,4.8314795,4.0301332,2.630343029,0.375,0.288135593,0.442622951,0.375
CC1(C)OC(=O)N(c2ccc(F)c(C(F)(F)F)c2)C1=O,3.7,3.28,2.736,3.088,2.579,2.859,2.381,3.1079745,2.309428,2.8476973,2.4158123,3.182655197,0.28,0.292307692,0.407407407,0.387755102
CCNC(=O)c1cc(Cc2ccccc2)nc(C(=O)NC)c1,3.7,2.12,2.913,2.246,2.186,2.687,2.833,3.0443044,2.6429667,2.286255,2.8636765,1.612574099,0.487804878,0.403846154,0.472727273,0.487804878
CC(C)c1ccn2ncnc(N[C@H]3CC[C@@H](N4CCN(C(=O)CCC(=O)NCCCCCCNc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)c12,3.7,3.2,2.519,2.378,1.88,2.045,1.676,2.023868,2.065979,3.550579,2.5803092,2.269830837,0.2,0.287037037,0.494845361,0.301075269
CC(C)c1ccn2ncnc(N[C@H]3CC[C@@H](N4CCN(C(=O)CCC(=O)N5CCC(CCN6CCN(c7ccc8c(c7)C(=O)N(C7CCC(=O)N(C)C7=O)C8=O)CC6)CC5)CC4)CC3)c12,3.7,3.13,2.044,2.117,1.77,1.024,0.717,1.3727219,1.0721672,2.9916372,1.8189458,0.834545166,0.181034483,0.330357143,0.489583333,0.204918033
COc1cc(OC)cc(C(=O)Nc2cnc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)c(OC)c3)nc2Nc2ccccc2)c1,3.7,3.58,4.011,3.56,4.282,4.087,3.672,3.97596,4.148675,4.5613146,3.6531167,3.69950712,0.304347826,0.357894737,0.457446809,0.304347826
Cc1ccc(C(=O)NC2CC2)cc1-n1ccnc(NCC2CCCCC2)c1=O,3.7,2.89,4.287,3.367,3.495,3.561,3.837,3.6357064,3.525175,3.7539282,3.4209228,3.153112852,0.298701299,0.405405405,0.420289855,0.298701299
CCCCC1NC(=O)C(CCCC)NC(=O)C(CCCC)NC(=O)C2CCCN2C(=O)C(CCCC)NC(=O)C(Cc2ccccc2)NC(=O)CSCC(C(=O)NC)NC1=O,3.7,2.88,3.857,4.418,3.081,3.244,3.422,2.614978,2.2942805,2.8948424,3.7413387,2.838919333,0.318181818,0.293478261,0.481012658,0.318181818
CNC(=O)c1cc(C(=O)NC2CC2)cc2c1OC[C@H]2c1cccc(F)c1,3.7,2.66,3.47,2.452,3.438,3.334,2.939,3.1416152,3.4151812,3.367363,3.023972,2.111138671,0.295774648,0.358208955,0.485294118,0.295774648
CNC(=O)c1cc(C(=O)NC2CCOCC2)cc(Cc2ccccc2)n1,3.7,1.91,2.491,2.212,1.851,2.328,2.426,2.917093,2.3911946,2.2098114,2.9342098,1.216952276,0.328767123,0.370967742,0.53968254,0.379310345
COc1cc(NC2CN(CCCF)C2)ccc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC(C)(F)F,3.7,3.44,3.286,3.139,3.484,3.646,3.823,3.2557998,3.2514317,2.9231856,2.9951468,3.364178857,0.225806452,0.235849057,0.593023256,0.225806452
Cc1ncsc1-c1ccc(CNC(=O)C2C[C@@H](O)CN2C(=O)C(NC(=O)CCCNC(=O)CCC(=O)N2CCN([C@H]3CC[C@@H](Nc4ncnn5ccc(C(C)C)c45)CC3)CC2)C(C)(C)C)cc1,3.7,2.73,1.951,2.342,2.318,2.568,2.3,2.8143265,2.4732308,4.078864,2.2793775,1.732816273,0.203007519,0.228346457,0.541284404,0.203007519
COc1ccc(-c2c(C)nn3c(NCc4ccc(N(C)C)cc4)cc(C)nc23)cc1OC,3.7,4.16,3.495,3.743,3.889,3.786,2.796,3.550361,4.290942,3.6473799,3.3590407,3.640943403,0.289855072,0.458333333,0.588235294,0.304878049
Cc1cc(NC2Cc3cccc(C(F)(F)F)c3C2)n2nc(C(C)(F)F)nc2n1,3.7,4.25,4.53,3.714,3.888,4.08,4.142,3.6638002,3.5228753,4.5457296,3.6491008,4.534601981,0.245901639,0.347222222,0.53968254,0.25
Cc1ccc(-c2cn(C(F)(F)F)cn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,3.7,3.34,3.894,3.607,3.666,3.721,3.177,4.410406,3.5097127,2.9000683,3.571918,5.734811754,0.283950617,0.486486486,0.78125,0.32
CC(=O)N(C)c1ccc2c(c1)CCN2c1cc(OC2CCN(c3nc(C(C)C)no3)CC2)ncn1,3.7,3.31,3.526,3.262,3.119,3.253,3.437,3.360568,2.7510436,3.735166,3.192303,3.990053523,0.223684211,0.329545455,0.717948718,0.223684211
CC(C)c1noc(N2CCC(Oc3cc(N4CCc5cc(N6CCCC6=O)ccc54)ncn3)CC2)n1,3.7,3.38,3.566,3.517,2.92,3.283,3.478,3.3310428,2.9273899,3.5515041,3.001601,4.17110399,0.207920792,0.326315789,0.727272727,0.207920792
O=C1Cc2ccccc2OCCCC/C=C/CCCCOc2cccc(c2)CC(=O)Nc2nnc(s2)CCCCc2ccc(nn2)N1,3.72,4.98,4.71,4.799,2.971,4.398,3.77,6.3422976,2.8123426,5.275053,4.5638833,6.53,0.225352113,0.201834862,0.22,0.225352113
Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)N1CCC(C(C)(C)C)C1,3.72,4.08,4.557,4.046,3.819,4.044,4.206,4.4069166,3.9325655,3.9818466,3.8833227,4.003416504,0.22,0.337209302,0.435294118,0.22
COc1nnc2sc(C(=O)NC3CN(c4ncc(C(F)(F)F)cn4)C3)c(N)c2c1C,3.73,3.48,3.121,3.156,2.924,3.218,3.289,3.248249,3.4086952,3.479868,2.7890117,2.42845726,0.266666667,0.325301205,0.305882353,0.266666667
C/C=C1\NC(=O)C(NC(=O)c2ccc(-c3ccc(Cl)cc3)cc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O,3.752,-2.24,-0.571,-0.386,-1.557,-1.847,-1.184,-0.28021598,-1.3450644,-2.907106,-1.0690713,-13.18,0.19047619,0.219512195,0.246666667,0.19047619
C/C=C1\NC(=O)C(NC(=O)CCCCCCCCC)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O,3.756,-2.21,0.383,-0.893,-0.983,-1.811,-1.244,-0.6319611,-2.898443,-3.4345164,0.5104947,-13.44,0.235294118,0.204724409,0.279661017,0.235294118
CCCCCCCCCC(=O)NC1C(=O)N=C(CC)C(=O)NC(CCN)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(O)CN)C(=O)NC(C(O)CN)C(=O)NCC1O,3.756,-2.65,0.456,-1.153,-1.143,-1.679,-1.34,-0.4177878,-2.4442365,-1.436172,-1.638586,-12.33762487,0.223300971,0.204724409,0.325757576,0.223300971
Cc1c(C)c2ccc(OCc3ccc(CN(C)CCCC(F)F)cc3)cc2oc1=O,3.78,3.83,3.182,4.071,2.647,2.903,2.794,3.043552,3.0750628,3.0596838,3.4741406,2.863800322,0.333333333,0.338461538,0.349206349,0.333333333
Cc1cc2c(-c3ccsc3)cnc(NC3CCNCC3C(=O)NC3CCCCC3)c2[nH]c1=O,3.79,2.56,2.363,3.215,2.756,1.874,2.186,2.4592245,2.9964805,2.8893704,2.18821,0.892347414,0.25,0.289156627,0.546666667,0.25
CC(C)c1noc(N2CCC(N(c3cc(N4CCc5cc(S(C)(=O)=O)ccc54)ncn3)C(F)(F)F)CC2)n1,3.79,3.75,3.984,3.651,3.7,3.91,3.487,4.0753636,3.0747287,3.563615,3.0014687,5.847727884,0.212765957,0.406593407,0.6875,0.212765957
